group_id,group_code,group_name,tcgcsv_group_id,product_id,name,clean_name,manufacturer,pack_size,sleeve_size,market_usd,low_usd,mid_usd,high_usd,pokebulk_zar,usd_zar_rate,tcgplayer_image_url,tcgplayer_url,final_image_url,tcgplayer_modified,bible_built_at
2299,,Pokemon International Card Sleeves,2299,174596,Pokemon TCG: Hoopa Unbound Card Sleeves (65 Pack),Pokemon TCG Hoopa Unbound Card Sleeves 65 Pack,Pokemon International,,,9.86,14.85,14.85,14.85,179.0,16.474,https://tcgplayer-cdn.tcgplayer.com/product/174596_200w.jpg,https://www.tcgplayer.com/product/174596/card-sleeves-pokemon-international-card-sleeves-pokemon-tcg-hoopa-unbound-card-sleeves-65-pack,https://tcgplayer-cdn.tcgplayer.com/product/174596_200w.jpg,2023-06-20T18:57:49.777,2026-06-21 07:24:03
2299,,Pokemon International Card Sleeves,2299,174597,Pokemon TCG:Team Magma and Team Aqua Card Sleeves (65 Pack),Pokemon TCGTeam Magma and Team Aqua Card Sleeves 65 Pack,Pokemon International,,,,,,,,16.474,https://tcgplayer-cdn.tcgplayer.com/product/174597_200w.jpg,https://www.tcgplayer.com/product/174597/card-sleeves-pokemon-international-card-sleeves-pokemon-tcgteam-magma-and-team-aqua-card-sleeves-65-pack,https://tcgplayer-cdn.tcgplayer.com/product/174597_200w.jpg,2018-08-23T19:53:12.647,2026-06-21 07:24:03
2299,,Pokemon International Card Sleeves,2299,174598,Pokemon TCG: We're Goomy Card Sleeves (65 Pack),Pokemon TCG Were Goomy Card Sleeves 65 Pack,Pokemon International,,,23.98,28.49,29.95,34.9,435.0,16.474,https://tcgplayer-cdn.tcgplayer.com/product/174598_200w.jpg,https://www.tcgplayer.com/product/174598/card-sleeves-pokemon-international-card-sleeves-pokemon-tcg-were-goomy-card-sleeves-65-pack,https://tcgplayer-cdn.tcgplayer.com/product/174598_200w.jpg,2018-08-23T19:53:51.4,2026-06-21 07:24:03
2299,,Pokemon International Card Sleeves,2299,174599,Pokemon TCG: Pikachu Tails Card Sleeves (65 Pack),Pokemon TCG Pikachu Tails Card Sleeves 65 Pack,Pokemon International,,,,,,,,16.474,https://tcgplayer-cdn.tcgplayer.com/product/174599_200w.jpg,https://www.tcgplayer.com/product/174599/card-sleeves-pokemon-international-card-sleeves-pokemon-tcg-pikachu-tails-card-sleeves-65-pack,https://tcgplayer-cdn.tcgplayer.com/product/174599_200w.jpg,2018-08-23T19:54:42,2026-06-21 07:24:03
2299,,Pokemon International Card Sleeves,2299,177429,Pokemon TCG: Dragon Majesty Elite Trainer Box Card Sleeves - Naganadel (65 Pack),Pokemon TCG Dragon Majesty Elite Trainer Box Card Sleeves Naganadel 65 Pack,Pokemon International,,,12.25,14.0,16.72,25.0,222.0,16.474,https://tcgplayer-cdn.tcgplayer.com/product/177429_200w.jpg,https://www.tcgplayer.com/product/177429/card-sleeves-pokemon-international-card-sleeves-pokemon-tcg-dragon-majesty-elite-trainer-box-card-sleeves-naganadel-65-pack,https://tcgplayer-cdn.tcgplayer.com/product/177429_200w.jpg,2018-09-27T18:55:21.563,2026-06-21 07:24:03
2299,,Pokemon International Card Sleeves,2299,179424,Pokemon TCG: Lost Thunder Elite Trainer Box Card Sleeves - Zeraora (65 Pack),Pokemon TCG Lost Thunder Elite Trainer Box Card Sleeves Zeraora 65 Pack,Pokemon International,,,15.36,10.0,15.18,25.0,278.5,16.474,https://tcgplayer-cdn.tcgplayer.com/product/179424_200w.jpg,https://www.tcgplayer.com/product/179424/card-sleeves-pokemon-international-card-sleeves-pokemon-tcg-lost-thunder-elite-trainer-box-card-sleeves-zeraora-65-pack,https://tcgplayer-cdn.tcgplayer.com/product/179424_200w.jpg,2018-11-02T17:42:13.637,2026-06-21 07:24:03
2299,,Pokemon International Card Sleeves,2299,185468,Pokemon TCG: Team Up Elite Trainer Box Card Sleeves - Pikachu & Zekrom (65 Pack),Pokemon TCG Team Up Elite Trainer Box Card Sleeves Pikachu and Zekrom 65 Pack,Pokemon International,,,17.34,20.0,20.0,20.0,314.5,16.474,https://tcgplayer-cdn.tcgplayer.com/product/185468_200w.jpg,https://www.tcgplayer.com/product/185468/card-sleeves-pokemon-international-card-sleeves-pokemon-tcg-team-up-elite-trainer-box-card-sleeves-pikachu-and-zekrom-65-pack,https://tcgplayer-cdn.tcgplayer.com/product/185468_200w.jpg,2019-02-22T15:29:15.023,2026-06-21 07:24:03
2299,,Pokemon International Card Sleeves,2299,200609,Pokemon TCG: Hidden Fates Elite Trainer Box Card Sleeves (65 Pack),Pokemon TCG Hidden Fates Elite Trainer Box Card Sleeves 65 Pack,Pokemon International,,,5.27,4.09,6.0,19.95,95.5,16.474,https://tcgplayer-cdn.tcgplayer.com/product/200609_200w.jpg,https://www.tcgplayer.com/product/200609/card-sleeves-pokemon-international-card-sleeves-pokemon-tcg-hidden-fates-elite-trainer-box-card-sleeves-65-pack,https://tcgplayer-cdn.tcgplayer.com/product/200609_200w.jpg,2019-10-11T18:35:16.693,2026-06-21 07:24:03
2299,,Pokemon International Card Sleeves,2299,201991,Pokemon TCG: Great Ball Card Sleeves (65 Pack),Pokemon TCG Great Ball Card Sleeves 65 Pack,Pokemon International,,,,,,,,16.474,https://tcgplayer-cdn.tcgplayer.com/product/201991_200w.jpg,https://www.tcgplayer.com/product/201991/card-sleeves-pokemon-international-card-sleeves-pokemon-tcg-great-ball-card-sleeves-65-pack,https://tcgplayer-cdn.tcgplayer.com/product/201991_200w.jpg,2019-10-30T16:24:27.693,2026-06-21 07:24:03
2299,,Pokemon International Card Sleeves,2299,206856,Pokemon TCG: Unified Minds Elite Trainer Box Card Sleeves - Mewtwo & Mew (65 Pack),Pokemon TCG Unified Minds Elite Trainer Box Card Sleeves Mewtwo and Mew 65 Pack,Pokemon International,,,,,,,,16.474,https://tcgplayer-cdn.tcgplayer.com/product/206856_200w.jpg,https://www.tcgplayer.com/product/206856/card-sleeves-pokemon-international-card-sleeves-pokemon-tcg-unified-minds-elite-trainer-box-card-sleeves-mewtwo-and-mew-65-pack,https://tcgplayer-cdn.tcgplayer.com/product/206856_200w.jpg,2020-01-06T20:47:02.443,2026-06-21 07:24:03
2299,,Pokemon International Card Sleeves,2299,206857,Pokemon TCG: Cosmic Eclipse Elite Trainer Box Card Sleeves (65 Pack),Pokemon TCG Cosmic Eclipse Elite Trainer Box Card Sleeves 65 Pack,Pokemon International,,,20.58,20.41,20.41,20.41,373.0,16.474,https://tcgplayer-cdn.tcgplayer.com/product/206857_200w.jpg,https://www.tcgplayer.com/product/206857/card-sleeves-pokemon-international-card-sleeves-pokemon-tcg-cosmic-eclipse-elite-trainer-box-card-sleeves-65-pack,https://tcgplayer-cdn.tcgplayer.com/product/206857_200w.jpg,2020-01-06T20:47:30.05,2026-06-21 07:24:03
2299,,Pokemon International Card Sleeves,2299,209913,Pokemon TCG: Unbroken Bonds Elite Trainer Box Card Sleeves - Reshiram & Charizard (65 Pack),Pokemon TCG Unbroken Bonds Elite Trainer Box Card Sleeves Reshiram and Charizard 65 Pack,Pokemon International,,,14.2,25.0,28.74,50.0,257.5,16.474,https://tcgplayer-cdn.tcgplayer.com/product/209913_200w.jpg,https://www.tcgplayer.com/product/209913/card-sleeves-pokemon-international-card-sleeves-pokemon-tcg-unbroken-bonds-elite-trainer-box-card-sleeves-reshiram-and-charizard-65-pack,https://tcgplayer-cdn.tcgplayer.com/product/209913_200w.jpg,2020-02-25T14:32:43.103,2026-06-21 07:24:03
2299,,Pokemon International Card Sleeves,2299,210181,Pokemon TCG: Sword & Shield Elite Trainer Box Card Sleeves - Zacian (65 Pack),Pokemon TCG Sword and Shield Elite Trainer Box Card Sleeves Zacian 65 Pack,Pokemon International,,,5.16,4.99,7.19,14.99,94.0,16.474,https://tcgplayer-cdn.tcgplayer.com/product/210181_200w.jpg,https://www.tcgplayer.com/product/210181/card-sleeves-pokemon-international-card-sleeves-pokemon-tcg-sword-and-shield-elite-trainer-box-card-sleeves-zacian-65-pack,https://tcgplayer-cdn.tcgplayer.com/product/210181_200w.jpg,2020-09-10T17:07:36.16,2026-06-21 07:24:03
