sku,name,description,price,discount,quantity,weight,seo title,seo description,user friendly url,type,categories,hidden,shipping required,option:Variant,option:Rarity,option:Artist,variant:Artist,variant sku,variant price,variant discount,variant quantity,variant weight,productId
me3-6-rev,Meg - POR - 6 - Serperior - RARE - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: RARE<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 006/088</p>,3.5,0.0,0.0,0.0,Meg - POR - 6 - Serperior - RARE - Reverse Holo,Meg - POR - 6 - Serperior - RARE - Reverse Holo,meg-por-6-serperior-rare-reverse-holo,Rare (Rev Holo),Mega Evolution Era; Grass; Pokémon Cards,,1.0,Reverse Holo,RARE,Unknown,,,,,,,684402
me3-6-holo,Meg - POR - 6 - Serperior - RARE - Holofoil,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: RARE<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 006/088</p>,3.5,0.0,0.0,0.0,Meg - POR - 6 - Serperior - RARE - Holofoil,Meg - POR - 6 - Serperior - RARE - Holofoil,meg-por-6-serperior-rare-holofoil,Rare,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Holofoil,RARE,Unknown,,,,,,,684402
me3-7-norm,Meg - POR - 7 - Scatterbug - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 007/088</p>,2.0,0.0,0.0,0.0,Meg - POR - 7 - Scatterbug - COMMON - Normal,Meg - POR - 7 - Scatterbug - COMMON - Normal,meg-por-7-scatterbug-common-normal,Common,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,COMMON,Unknown,,,,,,,684363
me3-7-rev,Meg - POR - 7 - Scatterbug - COMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 007/088</p>,4.5,0.0,0.0,0.0,Meg - POR - 7 - Scatterbug - COMMON - Reverse Holo,Meg - POR - 7 - Scatterbug - COMMON - Reverse Holo,meg-por-7-scatterbug-common-reverse-holo,Common (Rev Holo),Mega Evolution Era; Grass; Pokémon Cards,,1.0,Reverse Holo,COMMON,Unknown,,,,,,,684363
me3-8-norm,Meg - POR - 8 - Spewpa - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 008/088</p>,3.5,0.0,0.0,0.0,Meg - POR - 8 - Spewpa - COMMON - Normal,Meg - POR - 8 - Spewpa - COMMON - Normal,meg-por-8-spewpa-common-normal,Common,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,COMMON,Unknown,,,,,,,684364
me3-8-rev,Meg - POR - 8 - Spewpa - COMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 008/088</p>,5.5,0.0,0.0,0.0,Meg - POR - 8 - Spewpa - COMMON - Reverse Holo,Meg - POR - 8 - Spewpa - COMMON - Reverse Holo,meg-por-8-spewpa-common-reverse-holo,Common (Rev Holo),Mega Evolution Era; Grass; Pokémon Cards,,1.0,Reverse Holo,COMMON,Unknown,,,,,,,684364
me3-9-norm,Meg - POR - 9 - Vivillon - UNCOMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: UNCOMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 009/088</p>,2.5,0.0,0.0,0.0,Meg - POR - 9 - Vivillon - UNCOMMON - Normal,Meg - POR - 9 - Vivillon - UNCOMMON - Normal,meg-por-9-vivillon-uncommon-normal,Uncommon,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,UNCOMMON,Unknown,,,,,,,684366
me3-9-rev,Meg - POR - 9 - Vivillon - UNCOMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: UNCOMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 009/088</p>,3.5,0.0,0.0,0.0,Meg - POR - 9 - Vivillon - UNCOMMON - Reverse Holo,Meg - POR - 9 - Vivillon - UNCOMMON - Reverse Holo,meg-por-9-vivillon-uncommon-reverse-holo,Uncommon (Rev Holo),Mega Evolution Era; Grass; Pokémon Cards,,1.0,Reverse Holo,UNCOMMON,Unknown,,,,,,,684366
me3-10-norm,Meg - POR - 10 - Rowlet - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 010/088</p>,3.0,0.0,0.0,0.0,Meg - POR - 10 - Rowlet - COMMON - Normal,Meg - POR - 10 - Rowlet - COMMON - Normal,meg-por-10-rowlet-common-normal,Common,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,COMMON,Unknown,,,,,,,684367
me3-10-rev,Meg - POR - 10 - Rowlet - COMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 010/088</p>,5.0,0.0,0.0,0.0,Meg - POR - 10 - Rowlet - COMMON - Reverse Holo,Meg - POR - 10 - Rowlet - COMMON - Reverse Holo,meg-por-10-rowlet-common-reverse-holo,Common (Rev Holo),Mega Evolution Era; Grass; Pokémon Cards,,1.0,Reverse Holo,COMMON,Unknown,,,,,,,684367
