db_code,db_name,era,release_date,db_records,tcgcsv_gid,ptcgio_id,ptcgio_name,ptcgio_total,ptcgio_status,enrich_source,notes
LA,Legends Awakened,EX,2008-08-20,268,1417,dp6,Legends Awakened,146,CONFIRMED,ptcgio,
SF,Stormfront,EX,2008-11-05,190,1369,dp7,Stormfront,106,CONFIRMED,ptcgio,
HS,HeartGold & SoulSilver,HGSS,2010-02-10,223,1402,hgss1,HeartGold & SoulSilver,124,CONFIRMED,ptcgio,
PR-HS,HGSS Black Star Promos,HGSS,2010-02-10,0,,,,,NO_MAPPING,none,
UL,Unleashed,HGSS,2010-05-12,168,1399,hgss2,HS—Unleashed,96,CONFIRMED,ptcgio,
UD,Undaunted,HGSS,2010-08-18,161,1403,hgss3,HS—Undaunted,91,CONFIRMED,ptcgio,
TM,Triumphant,HGSS,2010-11-03,182,1381,hgss4,HS—Triumphant,103,CONFIRMED,ptcgio,
CL,Call of Legends,HGSS,2011-02-09,0,1415,col1,Call of Legends,106,CONFIRMED,ptcgio,
CoL,Call of Legends,HGSS,,106,1415,col1,Call of Legends,106,CONFIRMED,ptcgio,
MEE,Mega Evolution Energies,MEG,2025-09-26,8,24461,,,,NOT_YET,tcgcsv,
MEG,Mega Evolution,MEG,2025-09-26,318,24380,,,,NOT_YET,tcgcsv,
MEP,Mega Evolution Promos,MEG,2025-09-26,84,24451,,,,NOT_YET,tcgcsv,
PFL,Phantasmal Flames,MEG,2025-11-14,226,24448,,,,NOT_YET,tcgcsv,
ASC,Ascended Heroes,MEG,2026-01-30,643,24541,,,,NOT_YET,tcgcsv,
POR,Perfect Order,MEG,2026-03-27,216,24587,,,,NOT_YET,tcgcsv,
CRI,Chaos Rising,MEG,2026-05-22,209,24655,,,,NOT_YET,tcgcsv,
PBL,Pitch Black,MEG,2026-07-01,0,,,,,NOT_YET,none,
PRIZEPACK,Prize Pack Series,PRIZE,2022-09-01,723,22880,,,,NO_MAPPING,tcgcsv,
PPS1,Prize Pack Series 1,PRIZE,2022-11-09,0,,,,,NO_MAPPING,none,
PPS2,Prize Pack Series 2,PRIZE,2023-01-19,0,,,,,NO_MAPPING,none,
PPS3,Prize Pack Series 3,PRIZE,2023-08-14,0,,,,,NO_MAPPING,none,
PPS4,Prize Pack Series 4,PRIZE,2024-02-14,0,,,,,NO_MAPPING,none,
PPS5,Prize Pack Series 5,PRIZE,2024-08-01,0,,,,,NO_MAPPING,none,
PPS6,Prize Pack Series 6,PRIZE,2024-11-01,0,,,,,NO_MAPPING,none,
PPS7,Prize Pack Series 7,PRIZE,2025-02-01,0,,,,,NO_MAPPING,none,
PPS8,Prize Pack Series 8,PRIZE,2025-08-01,0,,,,,NO_MAPPING,none,
MCD11,McDonalds 2011,PROMO,2011-07-01,0,,,,,NO_MAPPING,none,
MCD12,McDonalds 2012,PROMO,2012-07-01,0,,,,,NO_MAPPING,none,
MCD15,McDonalds 2015,PROMO,2015-07-01,0,,,,,NO_MAPPING,none,
MCD17,McDonalds 2017,PROMO,2017-07-01,0,,,,,NO_MAPPING,none,
MCD19,McDonalds 2019,PROMO,2019-07-01,0,,,,,NO_MAPPING,none,
MCD23,McDonalds 2023,PROMO,2023-07-27,0,23306,,,,NO_MAPPING,tcgcsv,
PR-SM,SM Black Star Promos,SM,2017-01-06,0,,,,,NO_MAPPING,none,
SUM,Sun & Moon,SM,2017-02-03,0,1863,sm1,Sun & Moon,173,CONFIRMED,ptcgio,
GRI,Guardians Rising,SM,2017-05-05,0,1919,sm2,Guardians Rising,180,CONFIRMED,ptcgio,
BUS,Burning Shadows,SM,2017-08-04,0,1957,sm3,Burning Shadows,177,CONFIRMED,ptcgio,
SLG,Shining Legends,SM,2017-10-06,0,2054,sm35,Shining Legends,81,CONFIRMED,ptcgio,
CIN,Crimson Invasion,SM,2017-11-03,0,2071,sm4,Crimson Invasion,126,CONFIRMED,ptcgio,
UPR,Ultra Prism,SM,2018-02-02,0,2178,sm5,Ultra Prism,178,CONFIRMED,ptcgio,
FLI,Forbidden Light,SM,2018-05-04,0,2209,sm6,Forbidden Light,150,CONFIRMED,ptcgio,
MCD18,McDonalds 2018,SM,2018-07-01,0,,,,,NO_MAPPING,none,
CES,Celestial Storm,SM,2018-08-03,318,2278,sm7,Celestial Storm,187,CONFIRMED,ptcgio,
DRM,Dragon Majesty,SM,2018-09-07,128,2295,sm75,Dragon Majesty,80,CONFIRMED,ptcgio,
LOT,Lost Thunder,SM,2018-11-02,0,2328,sm8,Lost Thunder,240,CONFIRMED,ptcgio,
